name	url	sku	priority
Сертификаты Wildberries	https://www.wildberries.ru/gift/certificates	0	2
Wibes	https://wibes.ru/clips	0	4
Экспресс	https://www.wildberries.ru/catalog/ekspress-dostavka	0	1
Ресейл	https://www.wildberries.ru/catalog/resale	0	1
Женщинам	https://www.wildberries.ru/catalog/zhenshchinam	0	1
Блузки и рубашки	https://www.wildberries.ru/catalog/zhenshchinam/odezhda/bluzki-i-rubashki	0	3
Брюки	https://www.wildberries.ru/catalog/zhenshchinam/odezhda/bryuki-i-shorty	0	2
Верхняя одежда	https://www.wildberries.ru/catalog/zhenshchinam/odezhda/verhnyaya-odezhda	0	3
Джемперы, водолазки и кардиганы	https://www.wildberries.ru/catalog/zhenshchinam/odezhda/dzhempery-i-kardigany	0	4
Джинсы	https://www.wildberries.ru/catalog/zhenshchinam/odezhda/dzhinsy-dzhegginsy	0	4
Комбинезоны	https://www.wildberries.ru/catalog/zhenshchinam/odezhda/kombinezony-polukombinezony	0	3
Костюмы	https://www.wildberries.ru/catalog/zhenshchinam/odezhda/kostyumy	0	4
Лонгсливы	https://www.wildberries.ru/catalog/zhenshchinam/odezhda/longslivy	0	2
Пиджаки, жилеты и жакеты	https://www.wildberries.ru/catalog/zhenshchinam/odezhda/pidzhaki-i-zhakety	0	3
Платья и сарафаны	https://www.wildberries.ru/catalog/zhenshchinam/odezhda/platya	0	1
Толстовки, свитшоты и худи	https://www.wildberries.ru/catalog/zhenshchinam/odezhda/tolstovki	0	4
Туники	https://www.wildberries.ru/catalog/zhenshchinam/odezhda/tuniki	0	2
Футболки и топы	https://www.wildberries.ru/catalog/zhenshchinam/odezhda/futbolki-i-topy	0	2
Халаты	https://www.wildberries.ru/catalog/zhenshchinam/odezhda-dlya-doma/halaty	0	3
Шорты	https://www.wildberries.ru/catalog/zhenshchinam/odezhda/bryuki-i-shorty/shorty	0	4
Юбки	https://www.wildberries.ru/catalog/zhenshchinam/odezhda/yubki	0	4
Белье	https://www.wildberries.ru/catalog/zhenshchinam/bele	0	4
Аксессуары	https://www.wildberries.ru/catalog/zhenshchinam/bele/aksessuary	0	2
Бандажи	https://www.wildberries.ru/catalog/zhenshchinam/bele-i-kupalniki/bandazhi	0	2
Бесшовное	https://www.wildberries.ru/catalog/zhenshchinam/bele/besshovnoe	0	2
Боди и корсеты	https://www.wildberries.ru/catalog/zhenshchinam/bele-i-kupalniki/bodi-i-korsety	0	3
Бюстгальтеры и бюстье	https://www.wildberries.ru/catalog/zhenshchinam/bele-i-kupalniki/byustgaltery	0	4
Колготки и чулки	https://www.wildberries.ru/catalog/zhenshchinam/bele-i-kupalniki/kolgotki-i-chulki	0	3
Комбинации и неглиже	https://www.wildberries.ru/catalog/zhenshchinam/bele-i-kupalniki/kombinatsii-i-neglizhe	0	4
Комплекты белья	https://www.wildberries.ru/catalog/zhenshchinam/bele-i-kupalniki/komplekty-belya	0	4
Корректирующее белье	https://www.wildberries.ru/catalog/zhenshchinam/bele-i-kupalniki/korrektiruyushchee-bele	0	2
Майки	https://www.wildberries.ru/catalog/zhenshchinam/bele-i-kupalniki/mayki	0	2
Термобелье	https://www.wildberries.ru/catalog/zhenshchinam/bele-i-kupalniki/termobele	0	4
Трусы	https://www.wildberries.ru/catalog/zhenshchinam/bele-i-kupalniki/trusy	0	4
Большие размеры	https://www.wildberries.ru/catalog/zhenshchinam/bolshie-razmery	0	1
Белье	https://www.wildberries.ru/catalog/zhenshchinam/bolshie-razmery/bele	0	3
Блузки, рубашки, туники	https://www.wildberries.ru/catalog/zhenshchinam/bolshie-razmery/bluzki-rubashki-tuniki	0	2
Верхняя одежда	https://www.wildberries.ru/catalog/zhenshchinam/bolshie-razmery/verhnyaya-odezhda	0	4
Джинсы, брюки	https://www.wildberries.ru/catalog/zhenshchinam/bolshie-razmery/dzhinsy-bryuki	0	3
Жилеты	https://www.wildberries.ru/catalog/zhenshchinam/bolshie-razmery/zhilety	0	3
Костюмы	https://www.wildberries.ru/catalog/zhenshchinam/bolshie-razmery/kostyumy	0	1
Купальники	https://www.wildberries.ru/catalog/zhenshchinam/bolshie-razmery/kupalniki	0	4
Одежда для дома	https://www.wildberries.ru/catalog/zhenshchinam/bolshie-razmery/odezhda-dlya-doma	0	2
Пиджаки, жакеты	https://www.wildberries.ru/catalog/zhenshchinam/bolshie-razmery/pidzhaki-zhakety	0	2
Платья, сарафаны	https://www.wildberries.ru/catalog/zhenshchinam/bolshie-razmery/platya	0	3
Пуловеры, кофты, свитеры	https://www.wildberries.ru/catalog/zhenshchinam/bolshie-razmery/pulovery-kofty-svitery	0	1
Топы, футболки	https://www.wildberries.ru/catalog/zhenshchinam/bolshie-razmery/topy-futbolki	0	3
Юбки	https://www.wildberries.ru/catalog/zhenshchinam/bolshie-razmery/yubki	0	3
Будущие мамы	https://www.wildberries.ru/catalog/budushchie-mamy	0	4
Витамины и БАДы	https://www.wildberries.ru/catalog/budushchie-mamy/vitaminy-i-bady	0	1
Аксессуары	https://www.wildberries.ru/catalog/budushchie-mamy/aksessuary	0	4
Белье и купальники	https://www.wildberries.ru/catalog/budushchie-mamy/bele	0	3
Блузки, рубашки	https://www.wildberries.ru/catalog/budushchie-mamy/bluzki-koftochki	0	3
Брюки, джинсы	https://www.wildberries.ru/catalog/budushchie-mamy/bryuki-dzhinsy	0	3
Верхняя одежда	https://www.wildberries.ru/catalog/budushchie-mamy/verhnyaya-odezhda	0	2
Костюмы, комбинезоны	https://www.wildberries.ru/catalog/budushchie-mamy/kostyumy-kombinezony	0	1
Одежда для дома	https://www.wildberries.ru/catalog/budushchie-mamy/odezhda-dlya-doma	0	1
Одежда для кормящих мам	https://www.wildberries.ru/catalog/budushchie-mamy/odezhda-dlya-kormyashchih-mam	0	2
Пиджаки, жилеты	https://www.wildberries.ru/catalog/budushchie-mamy/pidzhaki-zhilety	0	1
Платья, сарафаны	https://www.wildberries.ru/catalog/budushchie-mamy/platya-sarafany	0	1
Пуловеры, джемперы	https://www.wildberries.ru/catalog/budushchie-mamy/pulovery-dzhempery	0	3
Собираемся в роддом	https://www.wildberries.ru/catalog/budushchie-mamy/sobiraemsya-v-roddom	0	4
Топы, футболки	https://www.wildberries.ru/catalog/budushchie-mamy/topy-futbolki	0	3
Туники	https://www.wildberries.ru/catalog/budushchie-mamy/tuniki	0	4
Шорты, юбки	https://www.wildberries.ru/catalog/budushchie-mamy/shorty-yubki	0	3
Для высоких	https://www.wildberries.ru/catalog/zhenshchinam/dlya-vysokih	0	1
Блузки и рубашки	https://www.wildberries.ru/catalog/zhenshchinam/dlya-vysokih/bluzki-i-rubashki	0	4
Брюки, джинсы, шорты	https://www.wildberries.ru/catalog/zhenshchinam/dlya-vysokih/bryuki-dzhinsy-shorty	0	1
Верхняя одежда	https://www.wildberries.ru/catalog/zhenshchinam/dlya-vysokih/verkxnyaya-odezhda	0	1
Джемперы, кардиганы, свитеры	https://www.wildberries.ru/catalog/zhenshchinam/dlya-vysokih/dzhempery-kardigany-svitery	0	3
Костюмы и комбинезоны	https://www.wildberries.ru/catalog/zhenshchinam/dlya-vysokih/kostyumy-i-kombinezony	0	1
Лонгсливы, толстовки, худи	https://www.wildberries.ru/catalog/zhenshchinam/dlya-vysokih/longslivy-tolstovki-kxudi	0	4
Одежда для дома	https://www.wildberries.ru/catalog/zhenshchinam/dlya-vysokih/odezhda-dlya-doma	0	2
Пиджаки, жакеты, жилеты	https://www.wildberries.ru/catalog/zhenshchinam/dlya-vysokih/pidzhaki-zhakety-zhilety	0	1
Платья, сарафаны, юбки	https://www.wildberries.ru/catalog/zhenshchinam/dlya-vysokih/platya-sarafany-yubki	0	3
Футболки и топы	https://www.wildberries.ru/catalog/zhenshchinam/dlya-vysokih/futbolki-i-topy	0	2
Для невысоких	https://www.wildberries.ru/catalog/zhenshchinam/dlya-nevysokih	0	2
Одежда для дома	https://www.wildberries.ru/catalog/zhenshchinam/odezhda/odezhda-dlya-doma	0	3
Брюки и шорты	https://www.wildberries.ru/catalog/zhenshchinam/odezhda-dlya-doma/bryuki-i-shorty	0	4
Блузки и туники	https://www.wildberries.ru/catalog/zhenshchinam/odezhda-dlya-doma/bluzki-i-tuniki	0	1
Джемперы и кардиганы	https://www.wildberries.ru/catalog/zhenshchinam/odezhda-dlya-doma/dzhempery-i-kardigany	0	3
Жакеты и жилеты	https://www.wildberries.ru/catalog/zhenshchinam/odezhda-dlya-doma/zhakety-i-zhilety	0	2
Костюмы и комбинезоны	https://www.wildberries.ru/catalog/zhenshchinam/odezhda-dlya-doma/kostyumy-i-kombinezony	0	3
Пижамы и сорочки	https://www.wildberries.ru/catalog/zhenshchinam/odezhda-dlya-doma/pizhamy-i-sorochki	0	1
Платья, сарафаны и юбки	https://www.wildberries.ru/catalog/zhenshchinam/odezhda-dlya-doma/platya-sarafany-i-yubki	0	4
Толстовки и лонгсливы	https://www.wildberries.ru/catalog/zhenshchinam/odezhda-dlya-doma/tolstovki-i-longslivy	0	1
Топы и футболки	https://www.wildberries.ru/catalog/zhenshchinam/odezhda-dlya-doma/topy-i-futbolki	0	2
Офис	https://www.wildberries.ru/catalog/zhenshchinam/ofis	0	3
Блузки и рубашки	https://www.wildberries.ru/catalog/zhenshchinam/ofis/bluzki-i-rubashki	0	3
Брюки	https://www.wildberries.ru/catalog/zhenshchinam/ofis/bryuki	0	2
Джемперы	https://www.wildberries.ru/catalog/zhenshchinam/ofis/dzhempery	0	2
Кардиганы	https://www.wildberries.ru/catalog/zhenshchinam/ofis/kardigany	0	1
Костюмы	https://www.wildberries.ru/catalog/zhenshchinam/ofis/kostyumy	0	1
Пиджаки и жилеты	https://www.wildberries.ru/catalog/zhenshchinam/ofis/pidzhaki-i-zhilety	0	2
Платья	https://www.wildberries.ru/catalog/zhenshchinam/odezhda/ofisnye-platya	0	3
Сарафаны	https://www.wildberries.ru/catalog/zhenshchinam/ofis/sarafany	0	1
Юбки	https://www.wildberries.ru/catalog/zhenshchinam/ofis/yubki	0	1
Пляжная мода	https://www.wildberries.ru/catalog/zhenshchinam/plyazhnaya-moda	0	4
Аксессуары	https://www.wildberries.ru/catalog/zhenshchinam/plyazhnaya-moda/aksessuary	0	2
Купальники	https://www.wildberries.ru/catalog/zhenshchinam/kupalniki	0	2
Одежда	https://www.wildberries.ru/catalog/zhenshchinam/odezhda-dlya-plyazha	0	2
Религиозная	https://www.wildberries.ru/catalog/zhenshchinam/religioznaya	0	4
Ислам	https://www.wildberries.ru/catalog/zhenshchinam/religioznaya/islam	0	4
Православие	https://www.wildberries.ru/catalog/zhenshchinam/religioznaya/pravoslavie	0	1
Свадьба	https://www.wildberries.ru/catalog/svadba	0	4
Аксессуары	https://www.wildberries.ru/catalog/svadba/aksessuary	0	2
Белье	https://www.wildberries.ru/catalog/svadba/bele	0	1
Обувь для невесты	https://www.wildberries.ru/catalog/svadba/tufli-nevestu	0	1
Обувь для подружек невесты	https://www.wildberries.ru/catalog/svadba/obuv-dlya-podruzhek-nevesty	0	3
Платья подружек невесты	https://www.wildberries.ru/catalog/zhenshchinam/svadba/platya-podruzhek-nevesty	0	3
Свадебные платья	https://www.wildberries.ru/catalog/zhenshchinam/svadba/svadebnye-platya	0	1
Свадебная фата	https://www.wildberries.ru/catalog/svadba/svadebnaya-fata	0	2
Спецодежда и СИЗы	https://www.wildberries.ru/catalog/zhenshchinam/spetsodezhda	0	4
Медицинская одежда	https://www.wildberries.ru/catalog/zhenshchinam/spetsodezhda/meditsinskaya-odezhda	0	2
Униформа и рабочая одежда	https://www.wildberries.ru/catalog/zhenshchinam/spetsodezhda/rabochaya-odezhda	0	3
Головные уборы	https://www.wildberries.ru/catalog/zhenshchinam/spetsodezhda/golovnye-ubory	0	3
